"Country","Estimate 2019"
"Aruba",1.03
"Andorra",1.91
"Afghanistan",-1.46
"Angola",-1.12
"Anguilla",0.82
"Albania",-0.06
"United Arab Emirates",1.38
"Argentina",-0.09
"Armenia",-0.07
"American Samoa",0.54
"Antigua and Barbuda",0
"Australia",1.57
"Austria",1.49
"Azerbaijan",-0.14
"Burundi",-1.33
"Belgium",1.03
"Benin",-0.44
"Burkina Faso",-0.76
"Bangladesh",-0.74
"Bulgaria",0.34
"Bahrain",0.3
"Bahamas, The",0.49
"Bosnia and Herzegovina",-0.63
"Belarus",-0.18
"Belize",-0.68
"Bermuda",1.36
"Bolivia",-0.7
"Brazil",-0.19
"Barbados",0.63
"Brunei Darussalam",1.32
"Bhutan",0.31
"South Sudan",-2.45
"Botswana",0.43
"Central African Republic",-1.75
"Canada",1.73
"Switzerland",1.95
"Chile",1.06
"China",0.52
"Côte d'Ivoire",-0.48
"Cameroon",-0.81
"Congo, Rep.",-1.39
"Colombia",0.07
"Comoros",-1.67
"Cape Verde",0.29
"Costa Rica",0.42
"Cuba",-0.17
"Cayman Islands",1.17
"Cyprus",0.99
"Czech Republic",0.89
"Germany",1.59
"Djibouti",-0.71
"Dominica",-0.26
"Denmark",1.94
"Dominican Republic",-0.36
"Algeria",-0.52
"Ecuador",-0.4
"Egypt, Arab Rep.",-0.42
"Eritrea",-1.76
"Spain",1
"Estonia",1.17
"Ethiopia",-0.63
"Finland",1.93
"Fiji",0.2
"France",1.38
"Micronesia, Fed. Sts.",-0.19
"Gabon",-0.9
"United Kingdom",1.44
"Georgia",0.83
"Ghana",-0.21
"Guinea",-0.78
"Gambia, The",-0.63
"Guinea-Bissau",-1.51
"Equatorial Guinea",-1.34
"Greece",0.41
"Grenada",-0.14
"Greenland",0.81
"Guatemala",-0.68
"French Guiana",1.39
"Guam",0.27
"Guyana",-0.39
"Hong Kong SAR, China",1.74
"Honduras",-0.61
"Croatia",0.41
"Haiti",-2.02
"Hungary",0.5
"Indonesia",0.18
"India",0.17
"Ireland",1.28
"Iran, Islamic Rep.",-0.55
"Iraq",-1.34
"Iceland",1.52
"Israel",1.33
"Italy",0.46
"Jamaica",0.5
"Jordan",0.1
"Japan",1.59
"Kazakhstan",0.12
"Kenya",-0.38
"Kyrgyz Republic",-0.68
"Cambodia",-0.58
"Kiribati",-0.24
"St. Kitts and Nevis",0.54
"Korea, Rep.",1.38
"Kuwait",0.02
"Lao PDR",-0.78
"Lebanon",-0.83
"Liberia",-1.38
"Libya",-1.92
"St. Lucia",0.23
"Liechtenstein",1.7
"Sri Lanka",-0.11
"Lesotho",-0.83
"Lithuania",1.04
"Luxembourg",1.73
"Latvia",1.11
"Kosovo",-0.35
"Macao SAR, China",1.17
"Morocco",-0.12
"Moldova",-0.38
"Madagascar",-1.14
"Maldives",-0.19
"Mexico",-0.16
"Marshall Islands",-1.47
"North Macedonia",0
"Mali",-1.06
"Malta",0.86
"Myanmar",-1.15
"Mongolia",-0.19
"Montenegro",0.16
"Mozambique",-0.82
"Mauritania",-0.5
"Martinique",1.09
"Mauritius",0.87
"Malawi",-0.75
"Malaysia",1
"Namibia",0.1
"Niger",-0.8
"Nigeria",-1.09
"Nicaragua",-0.77
"Netherlands",1.8
"Norway",1.86
"Nepal",-1.05
"Nauru",-0.13
"New Zealand",1.67
"Oman",0.26
"Pakistan",-0.68
"Panama",0.07
"Palau",-0.05
"Peru",-0.07
"Philippines",0.05
"Papua New Guinea",-0.81
"Poland",0.6
"Puerto Rico",-0.16
"Korea, Dem. Rep.",-1.4
"Portugal",1.15
"Paraguay",-0.53
"Qatar",0.71
"Réunion",1.09
"Romania",-0.28
"Russian Federation",0.15
"Rwanda",0.19
"Samoa",0.44
"Saudi Arabia",0.31
"Sudan",-1.62
"Senegal",-0.06
"Singapore",2.22
"Solomon Islands",-1
"Sierra Leone",-1.13
"El Salvador",-0.47
"Somalia",-2.24
"São Tomé and Principe",-0.63
"Suriname",-0.59
"Slovak Republic",0.67
"Slovenia",1.08
"Sweden",1.83
"Swaziland",-0.68
"Seychelles",0.52
"Syrian Arab Republic",-1.71
"Chad",-1.57
"Togo",-0.92
"Thailand",0.36
"Tajikistan",-1.05
"Turkmenistan",-1.16
"Timor-Leste",-0.88
"Tonga",0.16
"Trinidad and Tobago",0.1
"Tunisia",-0.1
"Turkey",0.05
"Tuvalu",-0.65
"Taiwan, China",1.44
"Tanzania",-0.88
"Uganda",-0.59
"Ukraine",-0.3
"Uruguay",0.7
"United States",1.49
"Uzbekistan",-0.51
"St. Vincent and the Grenadines",0.23
"Venezuela, RB",-1.66
"Virgin Islands (U.S.)",0.82
"Vietnam",0.04
"Vanuatu",-0.55
"West Bank and Gaza",-0.74
"Jersey, Channel Islands",1.24
"Yemen, Rep.",-2.28
"Serbia",0.02
"South Africa",0.37
"Congo, Dem. Rep.",-1.63
"Zambia",-0.68
"Zimbabwe",-1.21
